rates

SECID;SHORTNAME;NAME;TYPENAME;ISIN;REGNUMBER;LISTLEVEL;FACEVALUE;FACEUNIT;ISSUESIZE;IS_COLLATERAL;IS_EXTERNAL;PRIMARY_BOARDID;PRIMARY_BOARD_TITLE;MATDATE;IS_RII;DURATION;COUPONFREQUENCY;YIELDATWAP;COUPONDATE;COUPONPERCENT;COUPONVALUE;COUPONDAYSPASSED;COUPONDAYSREMAIN;COUPONLENGTH;ISSUEDATE;INITIALFACEVALUE;DAYSTOREDEMPTION;SECSUBTYPE;OFFERDATE;EMITENTNAME;INN;LOTSIZE;PRICE;PRICE_RUB;RTL1;RTH1;RTL2;RTH2;RTL3;RTH3;DISCOUNT1;LIMIT1;DISCOUNT2;LIMIT2;DISCOUNT3;DISCOUNTL0;DISCOUNTH0
CH0205819441;RZD-21 CHF;RZD Capital PLC 21 CHF;Корпоративные еврооблигации;CH0205819441;;;5000,0;CHF;30000;0;1;RPMO;РЕПО-М - адрес.;26.02.2021;;;1;;26.02.2021;2,73;136,5;79;286;127;26.02.2015;5000,0;2192;;;RZD Capital plc;0000003850;1;;;;;;;;;100,0;;;;;;
CH0248531110;VTB-24 CHF;VTB CAPITAL S.A. 24 CHF;Корпоративные еврооблигации;CH0248531110;;;5000,0;CHF;70000;0;1;RPMO;РЕПО-М - адрес.;24.10.2024;;;1;;24.10.2020;4,07;203,63;204;161;127;24.07.2014;5000,0;3745;;;VTB Capital S.A;0000097053;1;105,9;410188,53;;820377,06;;820377,06;;820377,06;100,0;;;;;100,00;100,00
CH0346828400;GAZ-21 CHF;GAZ CAPITAL SA 2.75 30/11/21;Корпоративные еврооблигации;CH0346828400;;;5000,0;CHF;100000;1;1;RPMO;РЕПО-М - адрес.;30.11.2021;;;1;;30.11.2020;2,75;137,5;166;198;127;30.11.2016;5000,0;1826;;;Gaz Capital S.A.;0000095071;1;101,85;390952,68;355766,94;426138,42;344038,36;437867,0;332309,78;449595,58;9,0;2000;12,0;10000;15,0;13,00;13,00
CH0374882816;GAZ-22 CHF;GAZ CAPITAL SA 2.25 19/07/22;Корпоративные еврооблигации;CH0374882816;;;5000,0;CHF;100000;1;1;RPMO;РЕПО-М - адрес.;19.07.2022;;;1;;19.07.2020;2,25;112,5;302;64;127;19.07.2017;5000,0;1826;;;Gaz Capital S.A.;0000095071;1;100,9;389570,64;346717,87;432423,41;335030,75;444110,53;323343,63;455797,65;11,0;2000;14,0;10000;17,0;15,00;15,00
CH0379268748;RZD-23 CHF;RZD Capital PLC 23 CHF;Корпоративные еврооблигации;CH0379268748;;;5000,0;CHF;90000;0;1;RPMO;РЕПО-М - адрес.;02.10.2023;;;1;;02.10.2020;2,10;105,0;227;139;127;02.10.2017;5000,0;2191;;;RZD Capital plc;0000003850;1;101,95;391464,43;321000,83;461928,03;309256,9;473671,96;297512,97;485415,89;18,0;1800;21,0;9000;24,0;20,00;20,00
CH0385518086;ALFA-22 CH;Alfa Holding Issuance 09/11/22;Корпоративные еврооблигации;CH0385518086;;;5000,0;CHF;33000;0;1;RPMO;РЕПО-М - адрес.;09.11.2022;;;;;09.11.2020;2,88;143,75;187;177;127;09.11.2017;5000,0;1826;;;Alfa holding Issuance plc;0000003953;1;99,5;382901,29;333124,12;432678,46;321637,08;444165,5;310150,04;455652,54;13,0;660;16,0;3300;19,0;;
CH0404311711;GAZ-23 CHF;GAZ CAPITAL SA 1.45 6/3/23 CHF;Корпоративные еврооблигации;CH0404311711;;;5000,0;CHF;150000;1;1;RPMO;РЕПО-М - адрес.;06.03.2023;;;1;;06.03.2021;1,45;72,5;67;294;127;06.03.2018;5000,0;1826;;;Gaz Capital S.A.;0000095071;1;99,8;379416,17;326297,91;432534,43;314915,42;443916,92;303532,94;455299,4;14,0;3000;17,0;15000;20,0;19,00;19,00
KZW100011193;KAZ 05/06;NBRK 05/06/20;Корпоративные еврооблигации;KZW100011193;;;100,0;KZT;835968600;0;1;RPMO;РЕПО-М - адрес.;05.06.2020;;;;;;;;;;;07.06.2019;100,0;364;;;Национальный Банк Республики Казахстан;0000004858;1;;;;;;;;;100,0;;;;;;
KZW100011235;KAZ 19/06;NBRK 19/06/20;Корпоративные еврооблигации;KZW100011235;;;100,0;KZT;1468789494;0;1;RPMO;РЕПО-М - адрес.;19.06.2020;;;;;;;;;;;21.06.2019;100,0;364;;;Национальный Банк Республики Казахстан;0000004858;1;;;;;;;;;100,0;;;;;;
KZW100011284;KAZ 10/07;NBRK 10/07/20;Корпоративные еврооблигации;KZW100011284;;;100,0;KZT;3781000000;0;1;RPMO;РЕПО-М - адрес.;10.07.2020;;;;;;;;;;;12.07.2019;100,0;364;;;Национальный Банк Республики Казахстан;0000004858;1;;;;;;;;;100,0;;;;;;
KZW100011730;KAZ 26/06;NBRK 26/06/20;Корпоративные еврооблигации;KZW100011730;;;100,0;KZT;1236897110;0;1;RPMO;РЕПО-М - адрес.;26.06.2020;;;;;;;;;;;27.12.2019;100,0;182;;;Национальный Банк Республики Казахстан;0000004858;1;;;;;;;;;100,0;;;;;;
KZW100011797;KAZ 24/07;NBRK 24/07/20;Корпоративные еврооблигации;KZW100011797;;;100,0;KZT;3352503934;0;1;RPMO;РЕПО-М - адрес.;24.07.2020;;;;;;;;;;;24.01.2020;100,0;182;;;Национальный Банк Республики Казахстан;0000004858;1;;;;;;;;;100,0;;;;;;
KZW100011912;KAZ 12/06;NBRK 12/06/20;Корпоративные еврооблигации;KZW100011912;;;100,0;KZT;835912798;0;1;RPMO;РЕПО-М - адрес.;12.06.2020;;;;;;;;;;;13.03.2020;100,0;91;;;Национальный Банк Республики Казахстан;0000004858;1;;;;;;;;;100,0;;;;;;
RU000A0JNYN1;МГор48-об;Гор.Обл.Займ Москвы 48 в.;Региональные облигации;RU000A0JNYN1;RU32048MOS0;1;1000,0;RUB;30000000;1;0;EQOB;Т0 Облигации - безадрес.;11.06.2022;;;2;5.42;11.06.2020;6,00;30,08;156;26;127;11.12.2006;1000,0;5661;;;Правительство Москвы в лице Департамента финансов города Москвы;7710152113;1;101,26;1038,74;903,7;1173,78;851,77;1225,71;799,83;1277,65;13,0;200000;18,0;1000000;23,0;10,00;10,00
RU000A0JQ5C5;НПФ 01;"""НПФ"" ООО об.сер. 01";Корпоративные облигации;RU000A0JQ5C5;4-01-10013-R;3;1000,0;RUB;75000;0;0;EQOB;Т0 Облигации - безадрес.;06.05.2029;;;;;06.05.2029;5,00;1000,55;4027;3277;127;07.05.2009;1000,0;7304;;;"Общество с ограниченной ответственностью ""Недвижимость пенсионного фонда""";6658196868;1;;;;;;;;;100,0;;;;;;
RU000A0JQ7Z2;РЖД-19 обл;"""Российские ЖД"" ОАО 19 обл.";Корпоративные облигации;RU000A0JQ7Z2;4-19-65045-D;2;1000,0;RUB;10000000;1;0;TQCB;Т+: Облигации- безадрес.;08.07.2024;;;2;6.21;13.07.2020;7,85;39,14;124;58;127;27.07.2009;1000,0;5460;;;"Открытое акционерное общество ""Российские железные дороги""";7708503727;1;106,21;1089,2;914,93;1263,47;882,25;1296,15;849,58;1328,82;16,0;200000;19,0;1000000;22,0;7,00;7,00
RU000A0JQ8V9;Мечел  4об;Мечел ПАО 04 обл.;Корпоративные облигации;RU000A0JQ8V9;4-04-55005-E;3;250,0;RUB;5000000;0;0;EQOB;Т0 Облигации - безадрес.;15.07.2021;;;4;;16.07.2020;9,25;5,77;30;61;91;30.07.2009;1000,0;4368;;;"Публичное акционерное общество ""Мечел""";7703370008;1;;;;;;;;;100,0;;;;;;
RU000A0JQAL8;ДОМ.РФ14об;ДОМ.РФ (АО) обл. сер. А14;Корпоративные облигации;RU000A0JQAL8;4-14-00739-A;1;1000,0;RUB;7000000;0;0;EQOB;Т0 Облигации - безадрес.;15.05.2023;;;2;-4.28;15.11.2020;8,00;40,33;1;183;127;27.08.2009;1000,0;5009;;;"Акционерное общество ""ДОМ.РФ""";7729355614;1;106,35;1064,16;979,03;1149,29;947,1;1181,22;915,18;1213,14;8,0;200000;11,0;1000000;14,0;8,00;8,00
RU000A0JQAM6;ДОМ.РФ15об;ДОМ.РФ (АО) обл. сер. А15;Корпоративные облигации;RU000A0JQAM6;4-15-00739-A;1;1000,0;RUB;7000000;0;0;EQOB;Т0 Облигации - безадрес.;15.09.2028;;;2;-27.87;15.09.2020;8,50;42,85;61;122;127;27.08.2009;1000,0;6959;;;"Акционерное общество ""ДОМ.РФ""";7729355614;1;115,0;1164,9;698,94;1630,86;640,7;1689,11;582,45;1747,35;40,0;200000;45,0;1000000;50,0;10,00;10,00
RU000A0JQRD9;РЖД-23 обл;"""Российские ЖД"" ОАО 23 обл.";Корпоративные облигации;RU000A0JQRD9;4-23-65045-D;2;1000,0;RUB;15000000;1;0;TQCB;Т+: Облигации- безадрес.;16.01.2025;;1437;2;6.24;23.07.2020;7,85;39,14;114;68;127;04.02.2010;1000,0;5460;;;"Открытое акционерное общество ""Российские железные дороги""";7708503727;1;106,85;1093,45;907,56;1279,34;874,76;1312,14;841,96;1344,94;17,0;200000;20,0;1000000;23,0;7,00;7,00
RU000A0JQXG0;ДОМ.РФ16об;ДОМ.РФ (АО) обл. сер. А16;Корпоративные облигации;RU000A0JQXG0;4-16-00739-A;1;250,0;RUB;10000000;1;0;EQOB;Т0 Облигации - безадрес.;15.09.2021;;;4;2.75;15.06.2020;8,25;5,2;61;30;91;30.06.2010;1000,0;4095;;;"Акционерное общество ""ДОМ.РФ""";7729355614;1;101,53;257,45;216,26;298,64;208,53;306,37;200,81;314,09;16,0;200000;19,0;1000000;22,0;8,00;8,00
RU000A0JQXR7;СУЭК-Фин01;СУЭК-Финанс ООО об. 01;Корпоративные облигации;RU000A0JQXR7;4-01-36393-R;3;1000,0;RUB;10000000;0;0;EQOB;Т0 Облигации - безадрес.;26.06.2020;;;2;;26.06.2020;0,01;0,05;141;41;127;09.07.2010;1000,0;3640;;;"Общество с ограниченной ответственностью ""СУЭК-Финанс""";7709851798;1;;;;;;;;;100,0;;;;;;
RU000A0JQY01;ВЭБлизинг1;ВЭБ-лизинг АО об. 01;Корпоративные облигации;RU000A0JQY01;4-01-43801-H;3;1000,0;RUB;5000000;0;0;EQQI;Основной режим: Для квал. инвесторов - безадрес.;02.07.2020;;;2;;02.07.2020;8,47;42,23;128;47;127;15.07.2010;1000,0;3640;;;"Акционерное общество ""ВЭБ-лизинг""";7709413138;1;;;;;;;;;100,0;;;;;;
RU000A0JQYU9;НефГазХол3;Нефтегазхолдинг АО обл.серия03;Корпоративные облигации;RU000A0JQYU9;4-03-65014-D;3;1000,0;RUB;5000000;0;0;EQOB;Т0 Облигации - безадрес.;21.07.2020;;;2;;21.07.2020;0,01;0,05;116;66;127;03.08.2010;1000,0;3640;;;"Акционерное общество ""Нефтегазхолдинг""";7704233903;1;;;;;;;;;100,0;;;;;;
RU000A0JR1Y7;ФСК ЕЭС-06;"""ФСК ЕЭС""(ПАО)-обл. сер.06";Корпоративные облигации;RU000A0JR1Y7;4-06-65018-D;2;1000,0;RUB;10000000;1;0;EQOB;Т0 Облигации - безадрес.;15.09.2020;;;2;;15.09.2020;8,25;41,14;60;122;127;28.09.2010;1000,0;3640;;;"Публичное акционерное общество ""Федеральная сетевая компания Единой энергетической системы""";4716016979;1;101,22;1026,21;954,38;1098,04;923,59;1128,83;892,8;1159,62;7,0;200000;10,0;1000000;13,0;9,00;9,00
RU000A0JR1Z4;ФСК ЕЭС-07;"""ФСК ЕЭС""(ПАО)-обл. сер.07";Корпоративные облигации;RU000A0JR1Z4;4-07-65018-D;2;1000,0;RUB;5000000;1;0;EQOB;Т0 Облигации - безадрес.;16.10.2020;;;2;;16.10.2020;7,50;37,4;29;153;127;29.10.2010;1000,0;3640;;;"Публичное акционерное общество ""Федеральная сетевая компания Единой энергетической системы""";4716016979;1;100,76;1013,97;932,85;1095,09;902,43;1125,51;872,01;1155,93;8,0;100000;11,0;500000;14,0;10,00;10,00
RU000A0JR209;ФСК ЕЭС-08;"""ФСК ЕЭС""(ПАО)-обл. сер.08";Корпоративные облигации;RU000A0JR209;4-08-65018-D;2;1000,0;RUB;10000000;1;0;TQCB;Т+: Облигации- безадрес.;15.09.2020;;;2;;15.09.2020;8,25;41,14;60;122;127;28.09.2010;1000,0;3640;;;"Публичное акционерное общество ""Федеральная сетевая компания Единой энергетической системы""";4716016979;1;100,93;1023,31;951,68;1094,94;920,98;1125,64;890,28;1156,34;7,0;200000;10,0;1000000;13,0;9,00;9,00
RU000A0JR217;ФСК ЕЭС-10;"""ФСК ЕЭС""(ПАО)-обл. сер.10";Корпоративные облигации;RU000A0JR217;4-10-65018-D;2;1000,0;RUB;10000000;1;0;EQOB;Т0 Облигации - безадрес.;15.09.2020;;;2;;15.09.2020;7,75;38,64;60;122;127;28.09.2010;1000,0;3640;;;"Публичное акционерное общество ""Федеральная сетевая компания Единой энергетической системы""";4716016979;1;100,68;1019,96;948,56;1091,36;917,96;1121,96;887,37;1152,55;7,0;200000;10,0;1000000;13,0;9,00;9,00
RU000A0JR3G0;ВЭБ.РФ 08;ВЭБ.РФ об. сер. 08;Корпоративные облигации;RU000A0JR3G0;4-08-00004-T;1;1000,0;RUB;15000000;1;0;TQCB;Т+: Облигации- безадрес.;13.10.2020;;;2;5.59;13.10.2020;9,70;48,37;32;150;127;26.10.2010;1000,0;3640;;;"государственная корпорация развития ""ВЭБ.РФ""";7750004150;1;101,52;1024,24;850,12;1198,36;819,39;1229,09;788,66;1259,82;17,0;200000;20,0;1000000;23,0;10,00;10,00
RU000A0JR3H8;ВЭБ.РФ 06;ВЭБ.РФ об. сер. 06;Корпоративные облигации;RU000A0JR3H8;4-06-00004-T;1;1000,0;RUB;10000000;1;0;TQCB;Т+: Облигации- безадрес.;13.10.2020;;151;2;5.59;13.10.2020;8,38;41,79;32;150;127;26.10.2010;1000,0;3640;;;"государственная корпорация развития ""ВЭБ.РФ""";7750004150;1;101,05;1018,31;845,2;1191,42;814,65;1221,97;784,1;1252,52;17,0;200000;20,0;1000000;23,0;10,00;10,00
RU000A0JR3L0;ФСК ЕЭС-11;"""ФСК ЕЭС""(ПАО)-обл. сер.11";Корпоративные облигации;RU000A0JR3L0;4-11-65018-D;3;1000,0;RUB;10000000;1;0;EQOB;Т0 Облигации - безадрес.;16.10.2020;;;2;;16.10.2020;0,10;0,5;29;153;127;29.10.2010;1000,0;3640;;;"Публичное акционерное общество ""Федеральная сетевая компания Единой энергетической системы""";4716016979;1;97,72;977,28;586,37;1368,19;557,05;1397,51;527,73;1426,83;40,0;200000;43,0;1000000;46,0;10,00;10,00
RU000A0JR3M8;ФСК ЕЭС-09;"""ФСК ЕЭС""(ПАО)-обл. сер.09";Корпоративные облигации;RU000A0JR3M8;4-09-65018-D;3;1000,0;RUB;5000000;1;0;EQOB;Т0 Облигации - безадрес.;16.10.2020;;;2;;16.10.2020;0,10;0,5;29;153;127;29.10.2010;1000,0;3640;;;"Публичное акционерное общество ""Федеральная сетевая компания Единой энергетической системы""";4716016979;1;97,72;977,28;586,37;1368,19;557,05;1397,51;;1954,56;40,0;100000;43,0;500000;100,0;10,00;10,00
RU000A0JR4J2;МТС 08;Мобильные ТелеСистемы ПАО об 8;Корпоративные облигации;RU000A0JR4J2;4-08-04715-A;1;1000,0;RUB;15000000;0;0;EQOB;Т0 Облигации - безадрес.;03.11.2020;;;2;0.46;03.11.2020;7,90;39,39;10;171;127;16.11.2010;1000,0;3640;;;"Публичное акционерное общество ""Мобильные ТелеСистемы""";7740000076;1;101,07;1013,51;608,11;1418,91;577,7;1449,32;547,3;1479,72;40,0;200000;43,0;1000000;46,0;10,00;10,00
RU000A0JR4U9;ГлДорога 3;Главная дорога АО об.сер. 03;Корпоративные облигации;RU000A0JR4U9;4-03-12755-A;2;1000,0;RUB;8000000;0;0;EQOB;Т0 Облигации - безадрес.;30.10.2028;;;1;;09.11.2020;5,48;54,65;187;177;127;22.11.2010;1000,0;6552;;;"Акционерное общество ""Главная дорога""";7726581132;1;;;;;;;;;100,0;;;;;;
RU000A0JR5F7;ДОМ.РФ17об;ДОМ.РФ (АО) обл. сер.А17;Корпоративные облигации;RU000A0JR5F7;4-17-00739-A;1;350,0;RUB;8000000;1;0;EQOB;Т0 Облигации - безадрес.;15.04.2022;;;4;5.66;15.07.2020;9,05;7,9;31;60;91;09.02.2011;1000,0;4083;;;"Акционерное общество ""ДОМ.РФ""";7729355614;1;103,81;366,2;307,61;424,79;296,62;435,78;285,64;446,76;16,0;100000;19,0;500000;22,0;8,00;8,00
RU000A0JR6S8;ДОМ.РФ20об;ДОМ.РФ (АО) обл. сер.А20;Корпоративные облигации;RU000A0JR6S8;4-20-00739-A;1;400,0;RUB;5000000;0;0;EQOB;Т0 Облигации - безадрес.;15.12.2027;;;4;1.74;15.06.2020;8,60;8,67;61;30;91;28.12.2010;1000,0;6196;;2020-12-15;"Акционерное общество ""ДОМ.РФ""";7729355614;1;101,42;411,71;329,37;494,05;317,02;506,4;304,67;518,75;20,0;100000;23,0;500000;26,0;20,00;20,00
RU000A0JR878;Газпрнеф10;Газпром нефть ПАО 10 об;Корпоративные облигации;RU000A0JR878;4-10-00146-A;3;1000,0;RUB;10000000;1;0;TQCB;Т+: Облигации- безадрес.;26.01.2021;;;2;3.75;28.07.2020;7,60;37,9;109;73;127;08.02.2011;1000,0;3640;;;"Публичное акционерное общество ""Газпром нефть""";5504036333;1;101,49;1038,01;954,97;1121,05;923,83;1152,19;892,69;1183,33;8,0;200000;11,0;1000000;14,0;10,00;10,00
RU000A0JR8L9;Мечел 15об;Мечел ПАО 15 обл.;Корпоративные облигации;RU000A0JR8L9;4-15-55005-E;3;1000,0;RUB;5000000;0;0;EQOB;Т0 Облигации - безадрес.;09.02.2021;;;2;;11.08.2020;8,00;39,89;95;87;127;22.02.2011;1000,0;3640;;;"Публичное акционерное общество ""Мечел""";7703370008;1;;;;;;;;;100,0;;;;;;
RU000A0JR8P0;Мечел 16об;Мечел ПАО 16 обл.;Корпоративные облигации;RU000A0JR8P0;4-16-55005-E;3;1000,0;RUB;5000000;0;0;EQOB;Т0 Облигации - безадрес.;09.02.2021;;;2;7.44;11.08.2020;8,00;39,89;95;87;127;22.02.2011;1000,0;3640;;;"Публичное акционерное общество ""Мечел""";7703370008;1;;;;;;;;;100,0;;;;;;
RU000A0JRCX7;ВЭБ.РФ 09;ВЭБ.РФ об. сер. 09;Корпоративные облигации;RU000A0JRCX7;4-09-00004-T;1;1000,0;RUB;15000000;1;0;TQCB;Т+: Облигации- безадрес.;18.03.2021;;;2;5.64;17.09.2020;8,90;44,38;58;124;127;31.03.2011;1000,0;3640;;;"государственная корпорация развития ""ВЭБ.РФ""";7750004150;1;102,67;1041,33;874,72;1207,94;843,48;1239,18;812,24;1270,42;16,0;400000;19,0;2000000;22,0;10,00;10,00
RU000A0JRDY3;ДОМ.РФ18об;ДОМ.РФ (АО) обл. сер.А18;Корпоративные облигации;RU000A0JRDY3;4-18-00739-A;1;1000,0;RUB;7000000;1;0;EQOB;Т0 Облигации - безадрес.;15.07.2023;;;4;;15.07.2020;0,05;0,12;31;60;91;05.04.2011;1000,0;4484;;2020-07-17;"Акционерное общество ""ДОМ.РФ""";7729355614;1;98,8;988,0;592,8;1383,2;563,16;1412,84;533,52;1442,48;40,0;100000;43,0;500000;46,0;10,00;10,00
RU000A0JREW5;ВЭБлизинг3;ВЭБ-лизинг АО об. 03;Корпоративные облигации;RU000A0JREW5;4-03-43801-H;3;1000,0;RUB;5000000;0;0;EQOB;Т0 Облигации - безадрес.;02.04.2021;;;2;;02.10.2020;7,27;36,25;43;139;127;15.04.2011;1000,0;3640;;;"Акционерное общество ""ВЭБ-лизинг""";7709413138;1;100,7;1015,96;792,45;1239,47;751,81;1280,11;711,17;1320,75;22,0;100000;26,0;500000;30,0;10,00;10,00
RU000A0JREX3;ВЭБлизинг4;ВЭБ-лизинг АО об. 04;Корпоративные облигации;RU000A0JREX3;4-04-43801-H;3;1000,0;RUB;5000000;0;0;EQOB;Т0 Облигации - безадрес.;02.04.2021;;;2;;02.10.2020;7,27;36,25;43;139;127;15.04.2011;1000,0;3640;;;"Акционерное общество ""ВЭБ-лизинг""";7709413138;1;100,75;1016,46;792,84;1240,08;752,18;1280,74;711,52;1321,4;22,0;100000;26,0;500000;30,0;10,00;10,00
RU000A0JREZ8;ВЭБлизинг5;ВЭБ-лизинг АО об. 05;Корпоративные облигации;RU000A0JREZ8;4-05-43801-H;3;1000,0;RUB;5000000;0;0;EQOB;Т0 Облигации - безадрес.;02.04.2021;;;2;;02.10.2020;7,27;36,25;43;139;127;15.04.2011;1000,0;3640;;;"Акционерное общество ""ВЭБ-лизинг""";7709413138;1;101,02;1019,16;794,94;1243,38;754,18;1284,14;713,41;1324,91;22,0;100000;26,0;500000;30,0;10,00;10,00
RU000A0JRF11;РУСАЛБАл08;РУСАЛ Братский алюм. з-д об 08;Корпоративные облигации;RU000A0JRF11;4-08-20075-F;2;1000,0;RUB;15000000;0;0;EQOB;Т0 Облигации - безадрес.;05.04.2021;;;2;0.0;05.10.2020;0,01;0,05;40;142;127;18.04.2011;1000,0;3640;;;"Публичное акционерное общество ""РУСАЛ Братский алюминиевый завод""";3803100054;1;94,0;940,01;;1880,02;;1880,02;;1880,02;100,0;;;;;10,00;10,00
RU000A0JRFN1;РусГидро01;РусГидро (ПАО) 01;Корпоративные облигации;RU000A0JRFN1;4-01-55038-E;3;1000,0;RUB;10000000;0;0;EQOB;Т0 Облигации - безадрес.;12.04.2021;;;2;5.0;12.10.2020;9,50;47,37;33;149;127;25.04.2011;1000,0;3640;;;"Публичное акционерное общество ""Федеральная гидрогенерирующая компания - РусГидро""";2460066195;1;;;;;;;;;100,0;;;;;;
RU000A0JRFP6;РусГидро02;РусГидро (ПАО) 02;Корпоративные облигации;RU000A0JRFP6;4-02-55038-E;3;1000,0;RUB;5000000;0;0;EQOB;Т0 Облигации - безадрес.;12.04.2021;;;2;;12.10.2020;9,50;47,37;33;149;127;25.04.2011;1000,0;3640;;;"Публичное акционерное общество ""Федеральная гидрогенерирующая компания - РусГидро""";2460066195;1;;;;;;;;;100,0;;;;;;
RU000A0JRHF3;Акрон 04;Акрон (ПАО) об. сер. 04;Корпоративные облигации;RU000A0JRHF3;4-05-00207-A;2;1000,0;RUB;2369971;0;0;EQOB;Т0 Облигации - безадрес.;18.05.2021;;;2;;19.05.2020;10,20;50,86;179;3;127;31.05.2011;1000,0;3640;;2020-05-21;"Публичное акционерное общество ""Акрон""";5321029508;1;100,41;1054,68;;2109,36;;2109,36;;2109,36;100,0;;;;;10,00;10,00
RU000A0JRHG1;Акрон 05;Акрон (ПАО) об. сер. 05;Корпоративные облигации;RU000A0JRHG1;4-06-00207-A;2;1000,0;RUB;1752785;0;0;EQOB;Т0 Облигации - безадрес.;18.05.2021;;;2;;19.05.2020;10,20;50,86;179;3;127;31.05.2011;1000,0;3640;;2020-05-21;"Публичное акционерное общество ""Акрон""";5321029508;1;101,41;1064,68;;2129,36;;2129,36;;2129,36;100,0;;;;;10,00;10,00
RU000A0JRJB8;ЗСД 01;Запад.скор.диаметр АО об.01;Корпоративные облигации;RU000A0JRJB8;4-01-00350-D;1;1000,0;RUB;5000000;0;0;EQOB;Т0 Облигации - безадрес.;13.05.2031;;;2;;26.05.2020;10,44;52,06;172;10;127;07.06.2011;1000,0;7280;;;"Акционерное общество ""Западный скоростной диаметр""";7825392577;1;;;;;;;;;100,0;;;;;;
RU000A0JRJC6;ВолгСпорт1;Волга-Спорт АО обл. 01;Корпоративные облигации;RU000A0JRJC6;4-01-20468-P;1;1000,0;RUB;1400000;0;0;EQOB;Т0 Облигации - безадрес.;04.04.2022;;;1;;06.08.2020;7,88;79,02;284;82;127;04.04.2011;1000,0;4018;;;"Акционерное общество ""Волга-Спорт""";5257116711;1;;;;;;;;;100,0;;;;;;
RU000A0JRJL7;ЗСД 02;Запад.скор.диаметр АО об.02;Корпоративные облигации;RU000A0JRJL7;4-02-00350-D;1;1000,0;RUB;5000000;0;0;EQOB;Т0 Облигации - безадрес.;13.05.2031;;;2;;26.05.2020;10,44;52,06;172;10;127;07.06.2011;1000,0;7280;;;"Акционерное общество ""Западный скоростной диаметр""";7825392577;1;;;;;;;;;100,0;;;;;;
RU000A0JRJS2;Мечел 17об;Мечел ПАО 17 обл.;Корпоративные облигации;RU000A0JRJS2;4-17-55005-E;3;250,0;RUB;5000000;0;0;EQOB;Т0 Облигации - безадрес.;27.05.2021;;;2;0.0;28.05.2020;10,38;14,23;170;12;127;09.06.2011;1000,0;3640;;;"Публичное акционерное общество ""Мечел""";7703370008;1;98,99;261,0;;522,0;;522,0;;522,0;100,0;;;;;100,00;100,00
RU000A0JRJT0;Мечел 18об;Мечел ПАО 18 обл.;Корпоративные облигации;RU000A0JRJT0;4-18-55005-E;3;250,0;RUB;5000000;0;0;EQOB;Т0 Облигации - безадрес.;27.05.2021;;;2;0.0;28.05.2020;10,38;14,23;170;12;127;09.06.2011;1000,0;3640;;;"Публичное акционерное общество ""Мечел""";7703370008;1;98,88;260,72;;521,44;;521,44;;521,44;100,0;;;;;100,00;100,00
RU000A0JRJV6;НефГазХол4;Нефтегазхолдинг АО обл.серия04;Корпоративные облигации;RU000A0JRJV6;4-04-65014-D;3;900,0;RUB;5000000;0;0;EQOB;Т0 Облигации - безадрес.;01.06.2021;;;2;0.0;02.06.2020;8,75;39,27;165;17;127;14.06.2011;1000,0;3640;;;"Акционерное общество ""Нефтегазхолдинг""";7704233903;1;85,48;805,35;;1610,7;;1610,7;;1610,7;100,0;;;;;10,00;10,00
RU000A0JRJY0;Мечел 19об;Мечел ПАО 19 обл.;Корпоративные облигации;RU000A0JRJY0;4-19-55005-E;3;250,0;RUB;5000000;0;0;EQOB;Т0 Облигации - безадрес.;01.06.2021;;;2;0.0;02.06.2020;10,38;14,23;165;17;127;14.06.2011;1000,0;3640;;;"Публичное акционерное общество ""Мечел""";7703370008;1;98,88;260,36;;520,72;;520,72;;520,72;100,0;;;;;100,00;100,00
RU000A0JRK22;НефГазХол6;Нефтегазхолдинг АО обл.серия06;Корпоративные облигации;RU000A0JRK22;4-06-65014-D;3;900,0;RUB;7000000;0;0;EQOB;Т0 Облигации - безадрес.;04.06.2021;;;2;0.0;05.06.2020;8,75;39,27;162;20;127;17.06.2011;1000,0;3640;;;"Акционерное общество ""Нефтегазхолдинг""";7704233903;1;85,23;802,45;;1604,9;;1604,9;;1604,9;100,0;;;;;10,00;10,00
RU000A0JRKC4;СПбТел 01;Санкт-Пет.Телеком АО обл. 01;Корпоративные облигации;RU000A0JRKC4;4-01-00740-D;3;1000,0;RUB;5000000;0;0;EQOB;Т0 Облигации - безадрес.;11.06.2021;;;2;7.25;12.06.2020;8,50;42,38;155;27;127;24.06.2011;1000,0;3640;;;"Акционерное общество ""Санкт-Петербург Телеком""";7815020097;1;101,6;1052,56;;2105,12;;2105,12;;2105,12;100,0;;;;;10,00;10,00
RU000A0JRKD2;СПбТел 02;Санкт-Пет.Телеком АО обл. 02;Корпоративные облигации;RU000A0JRKD2;4-02-00740-D;3;1000,0;RUB;5000000;0;0;EQOB;Т0 Облигации - безадрес.;11.06.2021;;;2;;12.06.2020;8,50;42,38;155;27;127;24.06.2011;1000,0;3640;;2020-06-17;"Акционерное общество ""Санкт-Петербург Телеком""";7815020097;1;100,16;1038,16;;2076,32;;2076,32;;2076,32;100,0;;;;;10,00;10,00
